orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
chide,t∫aɪd,CVC,3,12,7.7733,12,7.7733,20.7831,9.8920,131.9646,0.0446,172.2981,18.4866,9.6551,122.6873,0.0470,154.2442,24,7.9429,18,8.2378,21,7.6376,16,7.6376,19,14,22,16,26.9774,14.3660,328.0014,0.0128,212.7845,22.9549,16.0155,411.9945,0.0121,181.9153,15.4355,9.3745,125.0671,0.0227,123.5210,13.2988,10.0865,146.1368,0.0223,107.1281
chick,t∫ɪk,CVC,3,13,7.3815,11,7.5436,19.7151,9.1599,100.6879,0.0504,157.9264,16.6796,9.2964,107.4450,0.0478,136.5275,25,8.4208,22,8.5095,24,8.4804,21,8.4804,16,14,16,14,34.5587,12.4422,232.2187,0.0160,281.9646,31.0564,12.5117,240.9333,0.0159,255.5697,20.8304,7.3947,77.3400,0.0288,176.0503,18.6372,7.4561,80.7927,0.0288,159.6989
chill,t∫ɪl,CVC,3,13,7.3723,11,7.5327,20.7160,9.5434,116.1354,0.0495,167.0579,18.5185,9.3389,109.1121,0.0519,151.0729,23,8.5983,22,8.5386,19,8.8153,18,8.8153,11,10,12,11,35.5944,13.0918,273.0882,0.0151,288.1876,30.8223,13.6859,291.1128,0.0152,252.0602,19.3599,8.5194,110.8878,0.0252,163.4458,16.6447,8.8256,116.2632,0.0256,142.5645
chime,t∫aɪm,CVC,3,9,7.4633,9,7.4633,10.2452,10.9842,145.3937,0.0366,80.7056,9.4606,10.6440,134.2233,0.0386,74.9827,12,7.5483,10,7.7830,10,7.0920,8,7.0920,5,5,6,6,21.0694,14.4535,326.6653,0.0098,169.1464,18.2807,15.0780,355.4165,0.0096,147.9517,11.4797,7.6219,78.3837,0.0152,94.7810,9.8825,7.5326,77.2915,0.0149,83.0285
chin,t∫ɪn,CVC,3,13,7.3500,11,7.5064,22.3993,9.3264,106.5249,0.0548,181.4417,19.8672,9.2461,102.8646,0.0571,163.0883,24,8.6608,22,8.7041,21,8.4310,20,8.4310,9,9,11,10,32.2164,12.6443,256.8235,0.0138,262.3126,28.6368,12.9244,264.3849,0.0140,235.0645,17.9140,7.7107,91.7709,0.0237,153.0175,15.8046,7.6948,89.8275,0.0246,137.0042
chip,t∫ɪp,CVC,3,10,7.8340,8,7.9513,14.3543,11.1032,132.3111,0.0582,113.7674,12.4749,11.2914,139.0137,0.0567,100.2067,26,7.7362,25,7.7832,23,7.7461,22,7.7461,1,1,1,1,34.0370,14.1530,305.9674,0.0159,276.2445,30.9008,14.2203,304.7520,0.0163,252.5182,20.3574,8.6843,110.3108,0.0281,169.8748,18.5996,8.5742,105.8859,0.0293,156.8124
cheer,t∫ɪr,CVC,3,5,6.7640,4,6.7525,13.4527,15.3743,287.7179,0.0415,106.6779,11.3002,15.5453,309.2406,0.0379,91.3219,35,8.5506,28,8.8054,32,8.5744,25,8.5744,21,19,23,21,35.0790,13.5031,261.0107,0.0168,286.4437,29.6491,13.6864,272.0872,0.0158,244.8928,19.5045,8.4015,95.7744,0.0293,166.4096,16.1797,8.5788,103.0507,0.0270,140.4993
chit,t∫ɪt,CVC,3,6,8.6667,5,9.3480,20.0545,9.1030,104.6279,0.0452,167.7163,17.6982,8.9365,101.4415,0.0462,151.0909,21,9.0595,21,9.0595,19,8.8237,19,8.8237,18,18,20,20,34.1595,12.0261,249.0215,0.0140,284.6438,30.7395,12.1458,248.6902,0.0143,258.5695,21.0034,7.3849,87.0545,0.0253,181.2133,18.9951,7.3070,83.4311,0.0264,166.1434
chive,t∫aɪv,CVC,3,8,7.9388,8,7.9388,8.1033,16.1252,335.4049,0.0303,64.2331,7.6754,15.1074,293.3847,0.0325,61.0129,8,7.9275,8,7.9275,6,7.6717,6,7.6717,6,6,8,8,28.3026,12.0495,227.8999,0.0120,225.4907,24.4044,12.8888,251.3633,0.0120,195.4335,15.3078,7.7468,88.0650,0.0183,122.9713,13.4233,7.7538,85.8211,0.0191,108.6627
choice,t∫oɪs,CVC,3,6,8.8117,6,8.8117,10.2218,15.6889,321.9213,0.0323,84.9223,9.4261,15.0175,291.4379,0.0342,79.1442,4,9.3925,4,9.3925,4,9.3925,4,9.3925,1,1,1,1,27.1415,11.7791,263.6852,0.0087,220.1891,24.2946,11.8958,263.1440,0.0089,198.9346,15.7072,8.3676,114.6773,0.0148,131.6901,14.1980,8.1416,106.7226,0.0156,120.2766
choke,t∫ok,CVC,3,5,8.3140,4,8.8975,9.7633,15.9536,341.9836,0.0303,80.1803,8.4754,16.5893,374.1013,0.0301,71.2895,18,8.2656,16,8.4231,16,8.3156,14,8.3156,10,9,11,10,31.4720,10.0509,144.6732,0.0129,253.7363,28.0620,10.0050,142.4313,0.0131,228.5214,18.2349,6.1110,48.8635,0.0220,152.6052,16.3814,5.8888,45.4381,0.0226,139.0651
chose,t∫oz,CVC,3,6,9.0733,6,9.0733,13.1083,13.9524,248.1106,0.0402,111.1806,11.6677,13.7195,234.4783,0.0422,100.9431,20,8.8100,17,9.0147,18,8.8428,15,8.8428,7,6,8,7,32.9526,12.5849,297.2751,0.0122,265.3834,28.2120,13.5636,333.9099,0.0122,230.6145,19.3427,8.4543,124.8977,0.0210,159.3545,16.5236,8.8064,131.4206,0.0214,138.7563
chalk,t∫ɔk,CVC,3,12,7.6300,11,7.4964,16.6927,11.2096,154.6190,0.0477,135.5840,15.2309,11.0228,148.7363,0.0495,124.1142,14,8.0893,13,8.0785,13,8.3238,12,8.3238,9,8,9,8,31.4361,18.0453,567.1746,0.0154,250.0662,28.4756,18.0710,557.7621,0.0159,228.3508,18.3905,11.3759,207.2362,0.0279,152.2265,16.6745,11.2248,197.4740,0.0292,139.6560
chore,t∫ɔr,CVC,3,3,8.1433,3,8.1433,10.4755,18.7974,441.1451,0.0334,85.8428,9.5502,18.1427,403.1762,0.0353,78.8413,33,8.8179,23,9.4274,29,8.8490,21,8.8490,25,20,28,22,38.0687,14.0138,347.4555,0.0181,310.0109,31.9657,15.9448,437.6621,0.0174,265.1133,18.4771,10.4646,171.3397,0.0301,156.4057,15.2435,11.8637,209.7726,0.0295,131.8604
chewed,t∫ud,CVC,3,7,9.0357,6,9.3733,14.0874,12.2629,169.0073,0.0483,119.8879,12.6238,12.0062,164.5663,0.0482,109.4333,16,7.7938,15,8.1747,15,7.7827,14,7.7827,12,12,13,13,26.7838,11.1481,197.4190,0.0107,215.9115,23.3094,11.7230,212.0489,0.0107,190.4493,15.8325,6.5522,64.2609,0.0176,131.5786,14.0192,6.5386,62.2868,0.0184,118.6759
choose,t∫uz,CVC,3,7,8.4471,6,8.6867,14.1558,12.4308,171.9625,0.0509,118.1723,12.7373,12.2374,168.6599,0.0514,107.9902,19,8.3011,17,8.3782,17,8.3500,15,8.3500,2,2,2,2,28.8441,15.0835,340.5557,0.0136,231.8332,24.6757,16.4250,393.7642,0.0134,200.6452,17.4014,9.3576,124.8286,0.0235,141.9386,15.0001,9.8401,135.3033,0.0237,124.2927
chug,t∫ʌg,CVC,3,13,7.6662,12,7.5467,18.5543,11.3756,167.5635,0.0478,149.5876,16.8241,11.1745,158.0623,0.0501,136.3467,12,7.7867,11,7.7709,12,7.7867,11,7.7867,12,11,12,11,31.8260,8.6009,115.4760,0.0098,253.2627,28.7432,8.4253,110.8416,0.0101,230.2263,18.2147,5.7241,45.1250,0.0168,150.9803,16.4979,5.4898,41.7444,0.0175,138.0786
chuck,t∫ʌk,CVC,3,13,7.3654,12,7.2208,19.1455,11.0763,158.5299,0.0491,150.7866,17.3390,10.9048,150.2262,0.0515,137.0039,20,7.8505,19,7.8305,17,7.8665,16,7.8665,3,3,3,3,36.9181,12.7265,241.8180,0.0163,294.8624,33.5958,12.3846,232.3097,0.0165,269.8915,21.7123,7.2544,73.4208,0.0280,180.7512,19.7884,6.9148,68.1459,0.0285,166.2535
chum,t∫ʌm,CVC,3,3,9.9733,3,9.9733,8.9567,8.1038,80.4258,0.0260,74.4685,8.2624,7.9789,77.7820,0.0270,69.1738,15,8.4080,14,8.3286,14,8.6043,13,8.6043,13,12,13,12,29.9300,9.9068,145.8164,0.0114,242.3502,26.7802,9.7953,142.7687,0.0114,218.0548,16.4404,5.7868,43.4051,0.0190,141.4616,14.5503,5.5930,40.2966,0.0193,126.6920
she'd,∫id,CVC,3,6,8.0767,5,8.6400,21.6717,10.2660,131.4667,0.0515,177.7264,18.5474,10.2391,132.1754,0.0506,156.2097,38,8.0971,29,8.5214,35,7.9271,27,7.9271,12,12,14,14,22.7400,13.7521,260.6475,0.0134,180.7912,18.9473,14.6691,307.6239,0.0124,153.9730,14.5005,7.6090,79.1044,0.0238,115.3141,12.1120,7.9797,88.8244,0.0230,98.7548
sheathe,∫ið,CVC,3,1,6.7900,1,6.7900,6.2011,27.8488,952.5502,0.0257,46.6023,5.6147,26.5410,853.5703,0.0273,42.4466,17,6.7806,13,6.9277,15,6.3053,12,6.3053,13,10,15,11,25.3457,18.6066,472.1127,0.0167,203.4653,20.8689,18.8334,503.6203,0.0147,171.5073,15.9184,10.8332,159.7577,0.0295,126.7517,13.1389,10.4670,153.2888,0.0271,107.4469
sheaf,∫if,CVC,3,5,7.4020,4,7.5500,6.2551,20.7584,574.1529,0.0274,50.7209,5.6217,20.7050,559.6313,0.0285,46.2846,21,7.7529,17,8.0941,19,7.4800,16,7.4800,17,14,19,15,29.0296,19.0149,460.7878,0.0223,234.2091,23.9304,21.4553,603.1295,0.0202,197.7946,18.9859,10.7217,141.2185,0.0417,152.9465,15.7029,11.6904,171.6405,0.0392,130.2487
