orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
slag,slæg,CCVC,4,11,7.5073,11,7.5073,13.1853,8.9278,95.4420,0.0645,98.3387,12.6197,8.7741,91.4646,0.0662,94.3435,13,7.3508,13,7.3508,12,7.3058,12,7.3058,9,9,10,10,21.4500,18.0496,480.4055,0.0122,159.4692,20.1096,17.3439,440.1217,0.0128,150.9201,10.2306,8.2601,90.2127,0.0302,75.8244,9.9225,8.0173,84.8455,0.0311,73.7768
slain,slen,CCVC,4,11,7.4909,11,7.4909,13.2113,5.7937,40.7886,0.0486,100.4821,12.3973,5.8178,40.5994,0.0494,94.8037,13,7.5515,10,7.4780,9,7.6056,8,7.6056,7,6,10,8,24.2161,11.7827,198.4620,0.0122,187.2800,20.8747,11.9687,213.1205,0.0115,164.6928,10.2406,5.9522,47.7529,0.0264,79.6946,9.4200,5.8687,47.8727,0.0256,73.5329
slake,slek,CCVC,4,11,7.7964,11,7.7964,12.8253,7.4328,65.2863,0.0578,97.8823,12.1068,7.4499,65.3371,0.0585,92.8188,15,7.3327,13,7.4115,11,7.6836,10,7.6836,11,10,14,12,25.4003,15.0662,350.5905,0.0133,192.5931,22.8462,15.2994,365.0067,0.0134,176.0803,11.5222,7.8353,92.8061,0.0288,87.5995,10.8412,7.9713,94.5593,0.0291,82.7798
slam,slæm,CCVC,4,6,7.2483,6,7.2483,8.5658,10.7007,135.5358,0.0575,64.8446,8.2517,10.5432,130.5412,0.0590,63.2885,15,7.3293,15,7.3293,13,7.2615,13,7.2615,1,1,1,1,19.4130,18.7458,525.6095,0.0123,145.0793,18.1319,18.0955,484.9190,0.0129,136.6825,8.8111,8.7416,106.5261,0.0297,64.5011,8.4868,8.5339,101.0597,0.0305,62.3833
slang,slæŋ,CCVC,4,11,7.3964,11,7.3964,12.0964,8.9133,96.6461,0.0591,89.2500,11.5874,8.7544,92.5327,0.0606,85.6438,10,6.7640,10,6.7640,10,6.7640,10,6.7640,4,4,4,4,19.5771,18.4736,556.7215,0.0116,146.3757,18.2715,17.8400,513.8835,0.0122,137.7339,8.6809,8.9460,114.6808,0.0284,63.5766,8.3830,8.6968,108.1270,0.0293,61.5362
slap,slæp,CCVC,4,6,7.3000,6,7.3000,9.1427,10.6917,134.8020,0.0592,69.5856,8.7805,10.5727,130.7089,0.0606,67.7401,19,7.3642,19,7.3642,16,7.3425,16,7.3425,4,4,5,5,24.8243,16.0292,365.1518,0.0152,185.0829,23.2948,15.5271,338.8467,0.0159,175.2997,11.8201,7.6169,76.5414,0.0359,88.0534,11.5277,7.4147,72.3084,0.0369,86.0450
slash,slæ∫,CCVC,4,3,6.6000,3,6.6000,6.3506,11.8663,172.8291,0.0363,45.7081,6.1126,11.5949,164.1358,0.0373,44.1136,15,7.0560,15,7.0560,13,7.1523,13,7.1523,4,4,4,4,16.3518,18.2106,467.1817,0.0115,121.4606,15.5218,17.3924,424.2831,0.0121,116.0155,8.2877,8.0294,87.3657,0.0279,61.6392,8.1069,7.7925,82.1885,0.0287,60.3953
slat,slæt,CCVC,4,11,7.7091,9,7.9500,14.8091,6.7129,54.7405,0.0564,114.2554,13.5681,6.7497,56.4476,0.0545,105.7636,19,7.5774,18,7.5489,18,7.6972,17,7.6972,18,17,19,18,24.9969,15.4708,350.6430,0.0145,191.2261,23.3449,15.0401,328.5701,0.0151,180.2531,12.3773,7.0186,66.4049,0.0352,94.6828,11.9846,6.9262,64.3784,0.0360,91.8172
slate,slet,CCVC,4,11,7.4664,9,7.6533,14.4185,6.2809,48.5995,0.0540,109.8485,13.1889,6.4474,52.1440,0.0527,101.7375,16,7.8375,14,7.9279,13,7.8115,12,7.8115,9,8,10,9,26.3803,12.3771,234.4759,0.0131,201.6449,23.5214,12.3878,238.8159,0.0130,182.9273,12.2535,5.9272,53.0488,0.0284,92.0300,11.5455,5.9762,53.5849,0.0287,87.0337
Slav,slɑv,CCVC,4,7,6.7971,7,6.7971,4.0263,10.1839,119.8745,0.0251,30.0291,3.9161,9.8776,112.5603,0.0259,29.2878,8,7.1000,8,7.1000,7,7.1157,7,7.1157,3,3,4,4,25.1679,14.3359,310.9033,0.0118,186.5097,22.9927,14.2736,302.2210,0.0121,172.5823,11.0582,6.4987,62.5913,0.0242,80.0092,10.4222,6.5246,62.1714,0.0246,75.7328
slave,slev,CCVC,4,2,7.6400,2,7.6400,4.2422,8.9903,104.9530,0.0200,31.8447,3.9494,9.0618,105.0575,0.0203,29.8479,10,6.3080,8,6.5025,6,6.1000,6,6.1000,0,0,0,0,28.3163,15.0563,342.3925,0.0146,211.1070,24.3840,13.9018,314.5832,0.0132,186.7488,11.4230,4.5485,28.5613,0.0229,83.6100,10.5332,4.6641,30.0527,0.0228,78.0163
sled,slɛd,CCVC,4,11,7.3873,9,7.5567,15.6878,6.1323,46.2626,0.0554,118.0281,14.4328,6.2577,48.8151,0.0545,109.6108,9,7.5978,9,7.5978,8,7.2900,8,7.2900,3,3,4,4,26.7357,15.1438,355.9299,0.0128,203.2052,24.3055,15.1684,349.6096,0.0132,187.3608,12.8978,6.9839,67.7776,0.0312,96.4981,12.0932,7.0205,67.4285,0.0317,91.0165
sledge,slɛdʒ,CCVC,4,3,7.4067,3,7.4067,7.3147,9.8707,129.6899,0.0346,54.6315,6.9750,9.7165,124.6097,0.0354,52.3558,4,7.3700,4,7.3700,3,7.3733,3,7.3733,3,3,4,4,19.4030,18.7030,538.6326,0.0090,146.7222,17.7582,18.4960,515.5594,0.0093,135.9290,9.1170,9.2274,115.7479,0.0213,67.6659,8.5791,9.1372,112.0062,0.0218,64.0231
sleek,slik,CCVC,4,6,8.0167,6,8.0167,10.0592,10.0670,122.6241,0.0501,75.7060,9.6865,9.8525,116.7398,0.0515,72.9309,12,7.3942,11,7.5845,10,7.4880,10,7.4880,8,8,9,9,21.2248,15.9076,371.0728,0.0138,158.7956,18.8511,16.4159,389.0879,0.0140,143.1724,10.2443,7.4290,73.3722,0.0337,75.5725,9.6643,7.4252,72.4286,0.0343,71.4911
sleep,slip,CCVC,4,6,8.7583,6,8.7583,7.2747,10.3208,128.6213,0.0458,58.1693,7.1209,10.0384,121.3257,0.0472,57.3270,14,7.1071,14,7.1071,12,6.9483,12,6.9483,0,0,0,0,21.7646,16.6964,383.2336,0.0149,160.0145,19.6178,16.7545,377.3913,0.0153,145.7945,10.5264,7.6447,72.9812,0.0363,75.0514,9.9644,7.5901,71.2157,0.0371,71.0468
sleet,slit,CCVC,4,7,6.9843,7,6.9843,11.5156,8.9573,101.7951,0.0492,85.4123,10.7951,8.9204,99.6085,0.0502,80.4129,17,7.5012,15,7.3187,17,7.5012,15,7.5012,14,12,14,12,22.5779,16.0212,343.5669,0.0155,170.0061,19.8620,16.4869,362.3398,0.0153,151.5899,11.3249,7.0405,58.7727,0.0392,84.2465,10.5247,7.1194,60.8138,0.0387,78.0282
sleeve,sliv,CCVC,4,2,6.9250,2,6.9250,4.0941,11.0060,148.2404,0.0243,31.7868,3.9556,10.7012,139.7296,0.0250,30.8173,9,8.0811,9,8.0811,7,7.6314,7,7.6314,3,3,4,4,20.7100,13.1384,253.4155,0.0111,157.3485,18.0018,13.7645,284.2976,0.0107,139.4481,8.5694,5.8721,45.9395,0.0210,62.7865,7.7184,6.0210,50.2010,0.0198,57.4035
sleight,slaɪt,CCVC,4,10,7.1480,9,7.3689,13.5375,8.7757,94.7778,0.0583,101.7091,12.7857,8.8152,94.7929,0.0591,97.3796,17,7.5318,17,7.5318,14,7.5079,14,7.5079,5,5,6,6,22.4133,15.9110,352.8383,0.0136,174.1561,20.6085,15.5683,332.6894,0.0142,161.5478,10.6187,7.5984,75.7704,0.0313,80.2150,10.3588,7.3810,71.3688,0.0323,78.4994
sleuth,sluθ,CCVC,4,0,,0,,1.4078,10.3550,126.7608,0.0075,10.3418,1.3571,10.0971,119.9899,0.0077,10.0370,4,5.4800,4,5.4800,3,4.9300,3,4.9300,1,1,2,2,27.1928,17.1000,447.6505,0.0152,202.8940,24.3330,17.8058,473.6922,0.0153,183.5761,12.3667,8.9366,111.5990,0.0338,88.8805,11.7999,8.7669,106.5764,0.0347,85.0341
slice,slaɪs,CCVC,4,11,7.3527,9,7.5144,12.2018,9.0981,99.2381,0.0534,93.2822,10.8042,9.3145,108.0423,0.0483,83.6084,9,7.3144,8,7.2175,6,7.5550,5,7.5550,2,2,2,2,20.3278,16.6326,400.3668,0.0113,157.3443,18.4319,15.1913,345.1917,0.0110,144.2189,9.1513,8.3577,99.2079,0.0240,69.8260,8.5285,7.3973,87.3200,0.0216,65.2761
slick,slɪk,CCVC,4,6,7.6533,6,7.6533,11.5187,9.4960,110.6885,0.0567,85.0378,11.1331,9.2610,104.7837,0.0583,82.2274,13,7.7085,13,7.7085,12,7.6517,12,7.6517,4,4,4,4,27.1206,15.4063,365.3179,0.0146,206.6371,25.3742,14.8879,337.5546,0.0153,195.3526,12.9178,7.2304,71.7735,0.0356,97.6100,12.5295,7.0399,67.8191,0.0366,94.9371
slid,slɪd,CCVC,4,7,6.4743,7,6.4743,12.5258,9.0528,112.7972,0.0509,91.8809,11.8263,8.9898,109.9264,0.0520,87.1031,10,8.0710,10,8.0710,9,8.0822,9,8.0822,2,2,2,2,24.9003,10.3731,175.8830,0.0101,189.0698,22.9328,10.2354,168.4130,0.0105,176.3277,11.3603,5.1110,39.4568,0.0224,84.7902,10.8373,5.0247,37.8359,0.0229,81.3758
slide,slaɪd,CCVC,4,11,7.2582,9,7.3989,14.6116,8.8968,94.3522,0.0647,110.6501,13.0220,8.9612,98.4670,0.0591,99.5341,14,7.5707,13,7.5308,11,7.5055,10,7.5055,1,1,1,1,21.6466,13.5354,261.4772,0.0116,163.6582,19.4514,13.6487,261.2952,0.0119,149.4853,9.8543,5.4279,37.6361,0.0241,73.3051,9.2960,5.4419,37.9581,0.0242,69.5627
slight,slaɪt,CCVC,4,10,7.1480,9,7.3689,13.5375,8.7757,94.7778,0.0583,101.7091,12.7857,8.8152,94.7929,0.0591,97.3796,17,7.5318,17,7.5318,14,7.5079,14,7.5079,1,1,2,2,22.4133,15.9110,352.8383,0.0136,174.1561,20.6085,15.5683,332.6894,0.0142,161.5478,10.6187,7.5984,75.7704,0.0313,80.2150,10.3588,7.3810,71.3688,0.0323,78.4994
slim,slɪm,CCVC,4,6,9.0800,6,9.0800,7.6663,10.5700,137.2934,0.0507,62.7300,7.4969,10.2901,129.6923,0.0522,61.8468,11,7.8800,11,7.8800,10,7.9020,10,7.9020,5,5,5,5,21.3151,18.0593,515.9627,0.0121,159.7496,19.7723,17.5558,481.1871,0.0127,149.5256,9.5896,8.6679,106.5020,0.0295,70.8763,9.1446,8.5115,101.9025,0.0303,67.9904
slime,slaɪm,CCVC,4,6,7.3800,6,7.3800,7.2232,9.1646,98.8980,0.0436,53.9574,6.8947,9.1072,96.6254,0.0445,52.3592,12,7.3975,10,7.6620,9,7.8278,7,7.8278,7,6,8,7,16.5658,15.2923,324.7343,0.0096,125.2367,14.8227,14.9447,315.2987,0.0094,114.3584,7.1656,6.9593,64.7590,0.0201,53.2875,6.5740,6.4746,58.0374,0.0186,49.8998
sling,slɪŋ,CCVC,4,6,7.9517,6,7.9517,10.3841,9.5714,116.8413,0.0511,78.4059,10.0327,9.3416,110.7555,0.0526,75.8183,13,7.4908,13,7.4908,11,7.8945,11,7.8945,9,9,9,9,21.9724,19.6652,523.7758,0.0137,166.2281,20.4127,18.9958,483.5767,0.0144,155.8335,9.7269,9.1954,105.6366,0.0327,72.9752,9.3293,8.9412,99.5438,0.0337,70.2934
slip,slɪp,CCVC,4,6,8.7667,6,8.7667,8.2441,10.8983,141.5745,0.0538,65.9121,8.0492,10.6211,133.9521,0.0554,64.8721,19,7.7832,19,7.7832,16,7.7256,16,7.7256,1,1,1,1,28.0617,15.1210,317.3207,0.0162,212.1308,26.3650,14.5604,291.6613,0.0170,201.3490,13.3495,6.9664,61.9943,0.0388,99.7529,12.9661,6.7753,58.4461,0.0399,97.1617
slit,slɪt,CCVC,4,7,6.5686,7,6.5686,12.4036,9.3981,117.3573,0.0528,91.0848,11.6770,9.3599,115.0221,0.0539,86.0800,17,7.4941,16,7.4569,15,7.5087,14,7.5087,8,7,9,8,27.8280,14.8529,329.6686,0.0147,213.2547,25.8535,14.5041,310.8993,0.0153,200.0642,13.5103,6.7660,63.5350,0.0354,101.5896,13.0177,6.6805,61.6124,0.0361,98.0312
sloan,slon,CCVC,4,1,4.4900,1,4.4900,5.8000,8.9515,92.7434,0.0279,41.7499,5.3929,9.1266,96.2244,0.0279,39.4411,12,8.0467,10,8.4420,8,8.0713,8,8.0713,6,6,9,8,23.5900,15.7631,367.8813,0.0128,180.7831,20.6611,16.8945,421.9736,0.0125,161.2307,10.4666,7.8797,84.4290,0.0297,79.1696,9.6175,8.1571,88.5742,0.0298,73.2357
slob,slɑb,CCVC,4,5,6.3040,5,6.3040,6.1565,13.7482,223.3648,0.0467,43.2645,6.0544,13.3239,209.6451,0.0482,42.6811,9,6.4567,9,6.4567,8,6.4950,8,6.4950,6,6,7,7,20.6218,15.9574,371.9252,0.0109,150.2478,19.1509,15.5215,347.3631,0.0114,140.9703,9.6794,7.6036,76.2840,0.0260,69.2595,9.2677,7.4752,73.1160,0.0267,66.4922
sloop,slup,CCVC,4,2,7.2500,2,7.2500,4.0658,14.7497,268.0048,0.0329,28.6916,3.9409,14.4540,255.7887,0.0338,27.9747,14,7.2186,14,7.2186,12,7.0192,12,7.0192,11,11,13,13,23.9881,16.3955,398.7398,0.0148,178.1558,21.7949,16.5095,395.1901,0.0152,163.6665,11.4987,7.8650,82.8672,0.0355,83.4254,11.0236,7.7265,79.3987,0.0365,80.2619
slop,slɑp,CCVC,4,5,6.2900,5,6.2900,6.1393,13.5488,222.1521,0.0457,43.3615,6.0363,13.1325,208.5590,0.0471,42.7767,17,7.0600,17,7.0600,15,7.3987,15,7.3987,10,10,10,10,26.8392,13.8947,268.5757,0.0158,198.8069,25.2330,13.4320,248.7500,0.0166,188.8140,13.5193,6.1122,48.4197,0.0386,99.6325,13.1018,5.9798,46.1037,0.0396,96.6973
slope,slop,CCVC,4,1,9.2800,1,9.2800,3.1441,11.3694,162.8149,0.0201,22.7414,3.0636,11.0546,153.5016,0.0207,22.3049,14,6.8636,12,7.6350,9,7.7189,9,7.7189,4,4,5,5,25.1460,12.2654,206.5691,0.0129,185.3982,22.6277,11.5245,187.1859,0.0124,171.1910,11.2543,4.9342,32.6914,0.0247,82.6222,10.7453,4.8549,31.3745,0.0253,79.3152
slosh,slɑ∫,CCVC,4,3,6.5300,3,6.5300,4.0673,13.6992,215.1570,0.0256,28.5790,3.8878,13.3937,204.4516,0.0263,27.3716,8,6.1438,8,6.1438,7,6.4100,7,6.4100,6,6,6,6,16.4359,16.8934,396.0083,0.0101,119.7489,15.4976,16.2380,363.2061,0.0106,113.7289,8.5231,7.0555,65.6398,0.0246,60.9436,8.2538,6.8912,62.3057,0.0253,59.0651
slot,slɑt,CCVC,4,5,7.5660,4,7.6450,9.5647,10.2640,143.5822,0.0396,69.4138,8.4949,11.2456,170.8219,0.0381,62.1175,21,7.4352,19,7.4105,19,7.0853,17,7.0853,4,4,5,5,27.9687,12.9677,225.9156,0.0162,209.5692,25.9859,12.6776,216.0487,0.0167,196.4516,14.4540,5.4871,37.7446,0.0397,105.0273,13.8221,5.4813,37.8630,0.0400,100.3723
sloth,slɔθ,CCVC,4,0,,0,,2.1211,9.0366,107.7667,0.0085,15.7084,1.9853,9.1488,108.6355,0.0086,14.8505,3,6.4033,3,6.4033,2,7.3800,2,7.3800,1,1,1,1,28.5457,13.1311,261.4989,0.0142,213.3382,26.4172,12.9120,249.4686,0.0147,199.8691,13.6190,5.4957,42.4957,0.0319,100.0027,13.0506,5.4300,41.1377,0.0326,96.0265
slouch,slaʊt∫,CCVC,4,0,,0,,1.5086,7.5806,66.2099,0.0068,10.4264,1.4604,7.3781,62.4315,0.0070,10.1004,0,,0,,0,,0,,0,0,0,0,10.6952,8.7953,104.3972,0.0046,78.7393,9.8663,8.6904,101.7247,0.0048,73.4285,5.4078,3.8403,17.7940,0.0108,39.1524,5.1625,3.8161,17.5923,0.0109,37.4527
slough,slʌf,CCVC,4,7,6.8243,7,6.8243,4.4370,13.4512,220.6867,0.0351,33.7823,4.3381,13.0420,207.2613,0.0362,33.1126,11,7.1709,11,7.1709,11,7.1709,11,7.1709,8,8,8,8,32.2805,14.0949,322.2026,0.0147,241.2158,29.9950,13.8094,305.2255,0.0153,226.6721,15.3819,6.6298,62.6798,0.0358,113.4707,14.8398,6.4706,59.4695,0.0368,109.8128
slowed,slod,CCVC,4,3,5.4233,2,5.9100,7.6356,11.2622,150.9992,0.0418,51.0285,6.7251,12.0754,179.4681,0.0388,46.0862,13,7.3262,11,7.7700,9,7.1300,9,7.1300,3,3,5,5,26.2517,13.2725,281.1431,0.0131,196.5228,23.0303,13.7748,316.0727,0.0125,176.6877,12.0307,6.7686,75.5121,0.0273,88.4898,11.1700,6.9436,78.0761,0.0275,83.1265
sludge,slʌdʒ,CCVC,4,3,5.9533,3,5.9533,6.1139,16.7185,351.6272,0.0369,42.3283,5.8744,16.2881,332.5083,0.0380,40.7605,8,6.3575,8,6.3575,8,6.3575,8,6.3575,2,2,2,2,20.7356,15.1446,378.9213,0.0093,153.6031,19.1700,14.8536,358.4778,0.0097,143.6593,10.0020,7.3002,76.9050,0.0224,72.8120,9.5539,7.1281,72.9171,0.0231,69.9076
slug,slʌg,CCVC,4,4,6.4700,3,7.1633,9.8899,10.9712,159.5192,0.0454,71.8657,9.4841,10.7880,153.0107,0.0466,69.2900,13,6.5331,13,6.5331,10,6.7560,10,6.7560,1,1,1,1,26.1757,12.8410,238.6319,0.0122,193.3625,24.2220,12.5827,225.6408,0.0127,181.0411,11.9418,5.3640,38.2137,0.0254,87.4000,11.4411,5.2315,36.1220,0.0261,84.1577
sluice,slus,CCVC,4,2,5.5450,2,5.5450,5.5993,12.3494,206.6873,0.0282,38.1084,5.2264,12.4253,206.3005,0.0286,35.9202,6,6.2567,6,6.2567,3,6.2133,3,6.2133,3,3,5,5,21.8966,18.2966,516.6833,0.0121,164.2228,19.7073,18.7690,529.1901,0.0124,149.4318,9.8422,10.0628,147.0779,0.0262,71.9921,9.3631,9.8572,140.1204,0.0269,68.7888
slum,slʌm,CCVC,4,5,6.2620,5,6.2620,6.9744,8.6326,91.7918,0.0407,50.7823,6.8138,8.3975,86.5708,0.0419,49.9507,16,6.5344,15,6.5813,14,6.6100,13,6.6100,8,8,9,9,23.6685,16.7288,394.4614,0.0139,174.7809,21.7977,16.4708,384.9019,0.0143,162.5309,11.0068,7.2990,72.1026,0.0334,79.2250,10.3458,7.3621,74.5038,0.0333,75.0520
slung,slʌŋ,CCVC,4,4,7.2150,3,8.1567,9.2151,10.6687,155.3800,0.0426,69.0785,8.8296,10.5268,149.9706,0.0436,66.6724,13,6.9600,13,6.9600,12,6.7475,12,6.7475,12,12,13,13,23.6667,18.4713,494.7752,0.0135,176.4313,21.8630,18.0604,466.7198,0.0141,164.4192,10.9158,8.3572,90.7691,0.0338,79.0616,10.3746,8.2557,87.8614,0.0346,75.4825
slurp,slɝp,CCVC,4,0,,0,,2.9138,9.0961,98.5090,0.0166,20.7465,2.8544,8.8323,92.6477,0.0172,20.4184,8,7.2963,8,7.2963,6,7.8717,6,7.8717,5,5,6,6,22.8091,12.9651,243.8280,0.0111,169.3730,21.0692,12.7911,234.0109,0.0115,158.6656,10.4468,5.6440,43.2348,0.0238,76.9115,10.0684,5.5177,41.1058,0.0245,74.3669
slush,slʌ∫,CCVC,4,3,6.1567,3,6.1567,5.5201,16.9666,350.2826,0.0373,38.2983,5.3411,16.4834,329.9407,0.0385,37.1230,12,6.8142,12,6.8142,11,6.8036,11,6.8036,9,9,10,10,18.6038,19.0471,492.0283,0.0119,137.6593,17.5309,18.2509,448.9532,0.0125,130.7840,9.7202,7.9638,79.7532,0.0305,70.9154,9.4416,7.7304,74.9914,0.0314,69.0520
slut,slʌt,CCVC,4,5,7.9120,4,8.0775,11.5182,5.8016,42.7396,0.0385,85.3519,10.5122,6.0243,46.3045,0.0379,78.6148,15,6.8227,14,6.7321,15,6.8227,14,6.8227,5,4,5,4,28.9135,13.0330,282.6700,0.0136,217.8013,26.7809,12.8206,272.1680,0.0141,203.7494,14.4971,5.7827,50.7645,0.0337,106.4064,13.9288,5.7320,49.9972,0.0343,102.3591
smack,smæk,CCVC,4,10,8.5880,9,8.8533,6.7203,9.4157,99.7454,0.0462,54.1652,6.1032,9.3743,101.2699,0.0429,50.3219,10,7.4820,10,7.4820,7,7.7300,7,7.7300,4,4,4,4,11.6030,22.1350,654.8352,0.0100,88.2576,10.8627,21.4721,610.1747,0.0104,83.4003,4.3872,11.6099,178.3619,0.0211,32.3939,4.3031,11.2692,167.8284,0.0218,31.8488
small,smɔl,CCVC,4,5,6.9580,5,6.9580,4.9832,10.8203,146.9278,0.0336,37.2324,4.9320,10.4883,137.9355,0.0347,36.9158,5,8.2300,4,8.8750,3,8.8467,3,8.8467,0,0,0,0,10.9454,17.8906,428.4048,0.0070,84.3219,9.7035,16.8899,388.8541,0.0068,76.3702,3.1580,9.6596,112.7063,0.0129,23.2350,3.0474,9.4213,106.7104,0.0133,22.5661
smash,smæ∫,CCVC,4,0,,0,,2.1268,8.1553,81.2808,0.0122,16.2350,2.0877,7.9489,76.9327,0.0125,15.9911,5,7.5160,5,7.5160,3,7.5633,3,7.5633,1,1,1,1,7.1265,25.0952,864.9821,0.0061,53.8865,6.7272,24.1424,795.0562,0.0064,51.1905,2.5632,9.7556,127.7625,0.0105,18.6393,2.5205,9.4619,120.0973,0.0108,18.3718
smear,smɪr,CCVC,4,1,7.4000,1,7.4000,3.2593,21.2292,522.3191,0.0328,26.0372,3.2033,20.6070,491.4730,0.0339,25.6749,7,8.1743,7,8.1743,5,8.3220,5,8.3220,3,3,4,4,11.4368,25.5994,933.7845,0.0086,88.0549,10.3420,25.1160,885.7517,0.0090,80.5525,3.6859,15.1014,299.9603,0.0181,28.0608,3.5620,14.6855,282.9556,0.0187,27.2601
smell,smɛl,CCVC,4,10,8.4410,9,8.6900,7.8981,9.4756,116.3200,0.0506,65.2699,7.5498,9.5435,117.6816,0.0511,63.0933,8,8.4475,8,8.4475,4,9.7275,4,9.7275,3,3,3,3,12.0801,22.6912,672.7105,0.0088,94.0976,10.8247,22.2160,633.3123,0.0091,85.4493,3.5032,8.6364,90.6851,0.0131,27.0357,3.3253,8.5081,87.1211,0.0135,25.9025
smile,smaɪl,CCVC,4,10,8.4170,9,8.6633,7.1250,8.2275,80.3538,0.0441,57.5989,6.9305,8.0954,77.3770,0.0451,56.3833,7,9.0343,7,9.0343,4,9.3025,4,9.3025,2,2,2,2,9.1848,26.4781,924.3861,0.0076,73.4995,8.2622,25.7279,860.2193,0.0080,67.1839,2.5422,10.7608,142.9549,0.0107,19.6025,2.4467,10.4974,135.3817,0.0110,19.0182
smirch,smɝt∫,CCVC,4,0,,0,,1.1798,11.7702,157.2039,0.0098,7.9170,1.1749,11.3971,147.3276,0.0101,7.8866,2,5.7050,2,5.7050,2,5.7050,2,5.7050,2,2,2,2,6.7242,23.5950,801.3799,0.0047,50.0568,6.2650,22.5898,730.0848,0.0050,47.0771,2.6819,11.0832,154.5035,0.0118,18.6929,2.6122,10.7597,145.3646,0.0122,18.2746
smirk,smɝk,CCVC,4,1,3.7400,1,3.7400,3.2148,11.3722,168.2737,0.0234,22.2517,3.1617,11.0807,159.2308,0.0241,21.9202,6,6.1300,6,6.1300,4,6.0325,4,6.0325,2,2,3,3,10.9272,20.5884,552.1297,0.0082,80.7737,10.2143,19.6822,501.9114,0.0086,76.1475,4.2174,9.2097,106.5559,0.0180,29.7855,4.1033,8.9549,100.4425,0.0185,29.0580
smite,smaɪt,CCVC,4,7,7.9514,7,7.9514,7.8999,10.0816,120.7430,0.0545,62.8350,7.7614,9.7884,113.5755,0.0562,61.9549,8,8.1213,6,8.4550,6,7.7150,5,7.7150,5,4,7,5,9.8413,17.5195,409.1706,0.0069,78.0138,8.7046,16.9386,391.1078,0.0066,69.8241,3.7384,7.4813,67.9478,0.0142,27.3660,3.5655,7.5224,68.8942,0.0143,26.1070
smith,smɪθ,CCVC,4,0,,0,,1.4637,11.8431,181.0922,0.0099,12.1303,1.4303,11.5729,172.1308,0.0101,11.9135,3,7.8667,3,7.8667,1,7.5100,1,7.5100,0,0,0,0,14.5890,17.2273,401.1095,0.0096,109.0642,13.6257,16.5542,367.5334,0.0101,102.7895,5.3557,8.4156,92.0494,0.0202,38.5584,5.2375,8.1635,86.4996,0.0208,37.8067
smock,smɑk,CCVC,4,5,8.3360,5,8.3360,5.1528,14.2126,251.4734,0.0428,40.2312,5.0673,13.8277,237.3949,0.0441,39.6983,6,8.1083,6,8.1083,5,8.2300,5,8.2300,5,5,6,6,11.5288,15.8553,345.1580,0.0074,87.4001,10.7657,15.3399,319.5496,0.0077,82.5932,4.5117,7.4058,67.8157,0.0168,33.2452,4.4013,7.2083,64.0014,0.0173,32.5091
smog,smɑg,CCVC,4,5,8.0360,5,8.0360,5.0514,14.4064,254.8792,0.0428,37.9609,4.9737,14.0039,240.2917,0.0441,37.4765,2,6.0000,2,6.0000,2,6.0000,2,6.0000,1,1,1,1,9.8394,21.2491,683.8976,0.0061,73.5005,9.0919,20.6391,637.0079,0.0064,68.9247,3.6358,10.7050,149.8918,0.0148,25.9952,3.5365,10.4084,141.3538,0.0152,25.3885
smoke,smok,CCVC,4,2,8.4600,2,8.4600,3.0782,21.4280,536.1765,0.0326,23.6802,3.0312,20.8013,504.5643,0.0336,23.3851,8,6.6625,8,6.6625,6,6.4717,6,6.4717,0,0,0,0,11.7471,24.2680,776.7395,0.0095,87.0395,10.8655,23.3657,713.6307,0.0100,81.3381,4.5027,11.9407,182.6397,0.0211,30.8921,4.3372,11.6836,173.8490,0.0217,29.9005
smooch,smut∫,CCVC,4,0,,0,,0.8283,17.2816,375.7258,0.0070,5.1339,0.8232,16.7441,352.6744,0.0072,5.1027,3,5.1467,3,5.1467,2,5.5600,2,5.5600,1,1,1,1,6.3388,24.5324,835.5580,0.0048,46.4476,5.8074,24.0179,789.1023,0.0050,42.9287,2.5222,9.9616,127.1729,0.0102,17.2988,2.4478,9.6745,119.6953,0.0106,16.8206
smooth,smuð,CCVC,4,0,,0,,0.8102,16.1478,305.6650,0.0075,6.2796,0.8053,15.6431,286.7801,0.0078,6.2493,2,5.7700,2,5.7700,1,4.9600,1,4.9600,0,0,0,0,9.9762,23.0169,766.9149,0.0065,75.4945,8.9116,23.1539,758.6147,0.0066,68.5919,3.3070,11.2199,180.2240,0.0112,23.1469,3.1550,11.0211,172.6312,0.0115,22.2368
